FirstName	Surname	Address	Telephone	Eye Colour	Blood Group
Sean	Michael	825 Main Street,Joesville	0458 0555 0302	Hazel	A RhD negative (A-)
Ian	Lozano	655 Argyll Gardens,Midtown	0542 0809 0055	Hazel	B RhD negative (B-)
Scott	Williams	975 Freen Road,Big City	0202 0115 0121	Blue	A RhD negative (A-)
Leon	Wall	132 Any Square,Green Acres	0407 0307 0122	Brown	A RhD positive (A+)
Jay	Moses	306 Main Street,HopeTown	0344 0276 0181	Green	AB RhD positive (AB+)
Caleb	Robertson	45 Any Crescent,HopeTown	0290 0387 0254	Hazel	B RhD positive (B+)
Oliver	Gibson	1163 Orange Avenue,New Town	0470 0891 0286	Green	Blood Group
Roderick	Adkins	639 Freen Road,New Town	0537 0765 0132	Brown	B RhD positive (B+)
William	Richards	1066 Argyll Gardens,Cities	0210 0219 0425	Green	B RhD positive (B+)
Gerald	Vaughan	838 Main Street,HopeTown	0419 0854 0651	EyeColour	O RhD positive (O+)
Calvin	Rosales	826 Streets,Joesville	0409 0523 0907	Brown	O RhD negative (O-)
Adam	Dunlap	522 Main Street,Jonesville	0468 0633 0018	Hazel	O RhD positive (O+)
Jaxon	Dyer	775 Orange Avenue,Midtown	0231 0313 0113	Hazel	O RhD negative (O-)
Isaac	Cisneros	573 Short Road,Cities	0289 0312 0361	EyeColour	B RhD positive (B+)
Michael	Howard	297 Any Square,Green Acres	0212 0398 0448	Hazel	B RhD negative (B-)
Sean	Chaney	1051 Blue Street,Meaddowsville	0293 0839 0572	EyeColour	A RhD positive (A+)
Duncan	Arias	580 Short Road,Any Town	0539 0653 0390	Grey	B RhD positive (B+)
Justin	Warner	552 Orange Avenue,Green Acres	0301 0278 0377	Blue	A RhD negative (A-)
Euan	Santiago	1194 Argyll Gardens,Big City	0360 0670 0702	Blue	O RhD positive (O+)
Liam	Ray	98 Streets,Joesville	0460 0506 0862	Brown	A RhD positive (A+)
Alasdair	Ruiz	592 Orange Avenue,Jonesville	0420 0808 0205	Brown	B RhD positive (B+)
Shaun	Macdonald	829 Argyll Gardens,Any Town	0408 0457 0944	Green	O RhD negative (O-)
